timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1625994309650,260,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,1,1,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,41
1625994309910,251,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,1,1,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,251,ISO-8859-1,1,0,yFrdeiMac.local,0,36
1625994310161,256,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,2,2,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994310251,258,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,2,2,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625994310418,256,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,2,2,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994310510,256,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,2,2,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994310674,258,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994310766,256,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994310854,258,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,41
1625994310932,254,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994311022,257,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994311112,256,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994311186,256,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994311279,252,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,252,ISO-8859-1,1,0,yFrdeiMac.local,0,36
1625994311368,253,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,253,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994311442,255,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994311451,256,cpu/1/spring/flux,200,OK,Thread Group 1-4,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,40
