timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1625992910699,261,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,1,1,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625992910960,260,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,1,1,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,41
1625992911220,256,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,2,2,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992911304,259,cpu/1/spring/mvc,200,,Thread Group 1-2,text,true,,256,174,2,2,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,42
1625992911476,260,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,2,2,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,41
1625992911564,256,cpu/1/spring/mvc,200,,Thread Group 1-2,text,true,,256,174,2,2,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625992911736,258,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,3,3,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992911820,258,cpu/1/spring/mvc,200,,Thread Group 1-2,text,true,,256,174,3,3,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625992911904,263,cpu/1/spring/mvc,200,,Thread Group 1-3,text,true,,256,174,3,3,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,263,ISO-8859-1,1,0,yFrdeiMac.local,0,43
1625992911994,261,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,3,3,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,41
1625992912078,260,cpu/1/spring/mvc,200,,Thread Group 1-2,text,true,,256,174,3,3,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,259,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625992912168,258,cpu/1/spring/mvc,200,,Thread Group 1-3,text,true,,256,174,3,3,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992912255,260,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,4,4,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,259,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625992912338,257,cpu/1/spring/mvc,200,,Thread Group 1-2,text,true,,256,174,4,4,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992912426,259,cpu/1/spring/mvc,200,,Thread Group 1-3,text,true,,256,174,4,4,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992912505,261,cpu/1/spring/mvc,200,,Thread Group 1-4,text,true,,256,174,4,4,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,41
1625992912515,255,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,4,4,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625992912595,263,cpu/1/spring/mvc,200,,Thread Group 1-2,text,true,,256,174,4,4,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,262,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992912685,256,cpu/1/spring/mvc,200,,Thread Group 1-3,text,true,,256,174,4,4,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992912766,256,cpu/1/spring/mvc,200,,Thread Group 1-4,text,true,,256,174,4,4,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992912770,257,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,4,4,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992912859,261,cpu/1/spring/mvc,200,,Thread Group 1-2,text,true,,256,174,5,5,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,41
1625992912941,269,cpu/1/spring/mvc,200,,Thread Group 1-3,text,true,,256,174,5,5,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,269,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625992913022,261,cpu/1/spring/mvc,200,,Thread Group 1-4,text,true,,256,174,5,5,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,41
1625992913028,259,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,5,5,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,259,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625992913103,260,cpu/1/spring/mvc,200,,Thread Group 1-5,text,true,,256,174,5,5,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,41
1625992913120,254,cpu/1/spring/mvc,200,,Thread Group 1-2,text,true,,256,174,5,5,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625992913211,282,cpu/1/spring/mvc,200,,Thread Group 1-3,text,true,,256,174,5,5,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,281,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625992913283,261,cpu/1/spring/mvc,200,,Thread Group 1-4,text,true,,256,174,5,5,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625992913287,260,cpu/1/spring/mvc,200,,Thread Group 1-1,text,true,,256,174,5,5,http://3.112.29.19:8080/test/mvc/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,41
