timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1625994650869,256,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,1,1,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994651126,257,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,1,1,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994651383,256,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,2,2,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994651469,263,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,2,2,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,263,ISO-8859-1,1,0,yFrdeiMac.local,0,42
1625994651639,254,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,2,2,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994651733,255,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,2,2,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994651893,256,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994651988,256,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994652073,252,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,252,ISO-8859-1,1,0,yFrdeiMac.local,0,35
1625994652150,257,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994652244,254,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994652325,253,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,253,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994652407,253,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,3,3,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,253,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994652498,251,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,251,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994652578,253,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,253,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994652660,253,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,253,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994652674,256,cpu/1/spring/flux,200,OK,Thread Group 1-4,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994652749,257,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994652831,254,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994652913,254,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994652930,254,cpu/1/spring/flux,200,OK,Thread Group 1-4,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994653006,255,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,4,4,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994653085,257,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994653167,257,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625994653184,259,cpu/1/spring/flux,200,OK,Thread Group 1-4,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,259,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994653261,275,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,275,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994653272,268,cpu/1/spring/flux,200,OK,Thread Group 1-5,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,268,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994653342,255,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994653424,271,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,271,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994653443,258,cpu/1/spring/flux,200,OK,Thread Group 1-4,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994653540,254,cpu/1/spring/flux,200,OK,Thread Group 1-5,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994653536,262,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,262,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994653598,265,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,5,5,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,265,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625994653701,268,cpu/1/spring/flux,200,OK,Thread Group 1-4,text,true,,154,176,6,6,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,268,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994653695,276,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,6,6,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,275,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994653798,271,cpu/1/spring/flux,200,OK,Thread Group 1-2,text,true,,154,176,6,6,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,271,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994653794,275,cpu/1/spring/flux,200,OK,Thread Group 1-5,text,true,,154,176,6,6,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,275,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625994653870,260,cpu/1/spring/flux,200,OK,Thread Group 1-6,text,true,,154,176,6,6,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994653863,268,cpu/1/spring/flux,200,OK,Thread Group 1-3,text,true,,154,176,6,6,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,268,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625994653997,258,cpu/1/spring/flux,200,OK,Thread Group 1-1,text,true,,154,176,6,6,http://54.248.0.115:8080/test/flux/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,38
