timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1625997228038,263,cpu/1/ktor/ktor,200,OK,Thread Group 1-1,text,true,,218,177,1,1,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,263,UTF-8,1,0,yFrdeiMac.local,0,38
1625997228302,261,cpu/1/ktor/ktor,200,OK,Thread Group 1-1,text,true,,218,177,1,1,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,260,UTF-8,1,0,yFrdeiMac.local,0,38
1625997228563,262,cpu/1/ktor/ktor,200,OK,Thread Group 1-1,text,true,,218,177,2,2,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,261,UTF-8,1,0,yFrdeiMac.local,0,38
1625997228639,257,cpu/1/ktor/ktor,200,OK,Thread Group 1-2,text,true,,218,177,2,2,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,257,UTF-8,1,0,yFrdeiMac.local,0,36
1625997228825,260,cpu/1/ktor/ktor,200,OK,Thread Group 1-1,text,true,,218,177,2,2,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,260,UTF-8,1,0,yFrdeiMac.local,0,35
1625997228897,258,cpu/1/ktor/ktor,200,OK,Thread Group 1-2,text,true,,218,177,2,2,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,257,UTF-8,1,0,yFrdeiMac.local,0,37
1625997229085,261,cpu/1/ktor/ktor,200,OK,Thread Group 1-1,text,true,,218,177,3,3,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,261,UTF-8,1,0,yFrdeiMac.local,0,39
1625997229155,263,cpu/1/ktor/ktor,200,OK,Thread Group 1-2,text,true,,218,177,3,3,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,262,UTF-8,1,0,yFrdeiMac.local,0,39
1625997229241,261,cpu/1/ktor/ktor,200,OK,Thread Group 1-3,text,true,,218,177,3,3,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,261,UTF-8,1,0,yFrdeiMac.local,0,39
1625997229346,264,cpu/1/ktor/ktor,200,OK,Thread Group 1-1,text,true,,218,177,3,3,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,264,UTF-8,1,0,yFrdeiMac.local,0,40
1625997229418,260,cpu/1/ktor/ktor,200,OK,Thread Group 1-2,text,true,,218,177,3,3,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,260,UTF-8,1,0,yFrdeiMac.local,0,37
1625997229502,262,cpu/1/ktor/ktor,200,OK,Thread Group 1-3,text,true,,218,177,3,3,http://52.194.229.14:8080/test/ktor/cpu/1?round=11,,262,UTF-8,1,0,yFrdeiMac.local,0,39
