timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1625995182518,262,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,1,1,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,262,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625995182780,254,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,1,1,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,35
1625995183035,257,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,2,2,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,36
1625995183123,261,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,2,2,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,261,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625995183292,256,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,2,2,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,35
1625995183384,260,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,2,2,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625995183548,257,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,3,3,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,257,ISO-8859-1,1,0,yFrdeiMac.local,0,36
1625995183644,261,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,3,3,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,261,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625995183722,261,cpu/1/vertx/vertx,200,OK,Thread Group 1-3,text,true,,154,179,3,3,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,261,ISO-8859-1,1,0,yFrdeiMac.local,0,40
1625995183805,258,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,3,3,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995183905,262,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,3,3,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,262,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625995183983,256,cpu/1/vertx/vertx,200,OK,Thread Group 1-3,text,true,,154,179,3,3,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,36
1625995184063,254,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,3,3,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,35
1625995184167,262,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,4,4,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,262,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625995184239,264,cpu/1/vertx/vertx,200,OK,Thread Group 1-3,text,true,,154,179,4,4,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,264,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625995184317,254,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,4,4,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,35
1625995184322,260,cpu/1/vertx/vertx,200,OK,Thread Group 1-4,text,true,,154,179,4,4,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,260,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625995184429,262,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,4,4,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,262,ISO-8859-1,1,0,yFrdeiMac.local,0,36
1625995184503,258,cpu/1/vertx/vertx,200,OK,Thread Group 1-3,text,true,,154,179,4,4,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995184571,254,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,4,4,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,254,ISO-8859-1,1,0,yFrdeiMac.local,0,35
1625995184582,258,cpu/1/vertx/vertx,200,OK,Thread Group 1-4,text,true,,154,179,4,4,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995184691,261,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,261,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995184762,255,cpu/1/vertx/vertx,200,OK,Thread Group 1-3,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,35
1625995184825,258,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995184841,262,cpu/1/vertx/vertx,200,OK,Thread Group 1-4,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,262,ISO-8859-1,1,0,yFrdeiMac.local,0,36
1625995184923,263,cpu/1/vertx/vertx,200,OK,Thread Group 1-5,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,263,ISO-8859-1,1,0,yFrdeiMac.local,0,39
1625995184952,267,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,267,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995185017,255,cpu/1/vertx/vertx,200,OK,Thread Group 1-3,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,255,ISO-8859-1,1,0,yFrdeiMac.local,0,34
1625995185084,258,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,34
1625995185103,263,cpu/1/vertx/vertx,200,OK,Thread Group 1-4,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,263,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995185186,271,cpu/1/vertx/vertx,200,OK,Thread Group 1-5,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,271,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995185219,262,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,5,5,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,262,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995185272,256,cpu/1/vertx/vertx,200,OK,Thread Group 1-3,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,256,ISO-8859-1,1,0,yFrdeiMac.local,0,36
1625995185342,258,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625995185366,262,cpu/1/vertx/vertx,200,OK,Thread Group 1-4,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,262,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995185457,261,cpu/1/vertx/vertx,200,OK,Thread Group 1-5,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,261,ISO-8859-1,1,0,yFrdeiMac.local,0,36
1625995185481,261,cpu/1/vertx/vertx,200,OK,Thread Group 1-2,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,261,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995185523,258,cpu/1/vertx/vertx,200,OK,Thread Group 1-6,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995185575,258,cpu/1/vertx/vertx,200,OK,Thread Group 1-3,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,258,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995185644,261,cpu/1/vertx/vertx,200,OK,Thread Group 1-1,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,261,ISO-8859-1,1,0,yFrdeiMac.local,0,38
1625995185671,266,cpu/1/vertx/vertx,200,OK,Thread Group 1-4,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,266,ISO-8859-1,1,0,yFrdeiMac.local,0,37
1625995185761,276,cpu/1/vertx/vertx,200,OK,Thread Group 1-5,text,true,,154,179,6,6,http://13.231.226.212:8080/test/vertx/cpu/1?round=11,,276,ISO-8859-1,1,0,yFrdeiMac.local,0,39
