timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1626180469357,1047,network/2/spring/flux,200,OK,Thread Group 1-1,text,true,,162,215,2,2,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1045,ISO-8859-1,1,0,ip-192-168-101-180,0,26
1626180469841,1008,network/2/spring/flux,200,OK,Thread Group 1-2,text,true,,162,215,3,3,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1008,ISO-8859-1,1,0,ip-192-168-101-180,0,1
1626180470413,1007,network/2/spring/flux,200,OK,Thread Group 1-1,text,true,,162,215,4,4,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1007,ISO-8859-1,1,0,ip-192-168-101-180,0,1
1626180470437,1007,network/2/spring/flux,200,OK,Thread Group 1-3,text,true,,162,215,4,4,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1007,ISO-8859-1,1,0,ip-192-168-101-180,0,1
1626180470850,1007,network/2/spring/flux,200,OK,Thread Group 1-2,text,true,,162,215,5,5,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1007,ISO-8859-1,1,0,ip-192-168-101-180,0,1
1626180471035,1007,network/2/spring/flux,200,OK,Thread Group 1-4,text,true,,162,215,5,5,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1007,ISO-8859-1,1,0,ip-192-168-101-180,0,1
1626180471421,1006,network/2/spring/flux,200,OK,Thread Group 1-1,text,true,,162,215,6,6,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1006,ISO-8859-1,1,0,ip-192-168-101-180,0,1
1626180471444,1007,network/2/spring/flux,200,OK,Thread Group 1-3,text,true,,162,215,6,6,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1007,ISO-8859-1,1,0,ip-192-168-101-180,0,1
1626180471634,1007,network/2/spring/flux,200,OK,Thread Group 1-5,text,true,,162,215,6,6,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1007,ISO-8859-1,1,0,ip-192-168-101-180,0,1
1626180471858,1006,network/2/spring/flux,200,OK,Thread Group 1-2,text,true,,162,215,7,7,http://192.168.101.12:8080/test/flux/network/2?time1=100&time2=200&delta1=100&delta2=200,,1006,ISO-8859-1,1,0,ip-192-168-101-180,0,1
